"5,0,0,5,0,0",n,"19960,4000,4000,4000,4000,4000",,,,,,,Reject
"4,3,3,3,3,3","1,2,3,4,5,6","18977,9549,11409,9776,3169,1465","14312,12073,6515,2226,2447,3035",AV7UX8QQXABSK,Smart phone,25 - 31,WiFi,None,1
"3,5,2,3,4,4","1,2,3,4,5,6","31196,22126,16209,41820,18833,14780","19291,60966,11242,13274,20887,6717",A2VMYFT70HRXLD,Desktop,25 - 31,Cable network,None,1
"4,5,5,5,5,5","1,2,3,4,5,6","15774,11125,9914,9950,8124,11637","7139,18244,11684,5444,6092,7057",ARST2LTB56CAB,Desktop,25 - 31,WiFi,no,1
"4,5,2,2,3,3","1,2,3,4,5,6","67918,14922,22204,17904,21151,17180","7905,11580,8215,8002,6324,8067",A355V7HZR4DD9M,Desktop,46 - 52,WiFi,none,1
"4,4,4,4,3,4","1,2,3,4,5,6","33251,26799,20840,9717,11774,8455","16840,20661,5872,3196,3851,3956",AYMJAMX7Z7YHG,Desktop,25 - 31,Cable network,none,
"5,4,5,4,5,5","1,2,3,4,5,6","135558,15369,36787,12493,14982,16279","16999,3684,3802,7932,7821,4333",A1OX5KXDZAVQPJ,Laptop,39 - 45,Cable network,none,
"5,4,3,4,4,3","1,2,3,4,5,6","28274,21430,23118,9378,8342,10174","8327,4995,2950,3358,3452,8061",A3K6LZAQZOAPB2,Desktop,25 - 31,Cable network,none,
"5,4,5,3,5,5","1,2,3,4,5,6","28655,8749,8624,13098,7434,12953","4032,3256,14440,3334,2552,3143",AMQGOTPBRWYSF,Laptop,18 - 24,WiFi,None,
"5,2,2,2,2,2","1,2,3,4,5,6","24177,6678,9403,6841,6442,6389","9562,1918,5129,6876,2339,6794",A89HSG51VTPP0,Desktop,39 - 45,WiFi,whether i was intersted in it or not,
"5,4,2,5,2,2","1,2,3,4,5,6","24089,5927,7258,8006,8931,4889","16969,17324,4081,3483,2212,2309", ,Laptop,18 - 24,WiFi,If it affected the score or seemed important,
"4,2,1,5,3,3","1,2,3,4,5,6","19054,8148,5386,7390,7889,8404","13552,1691,2250,2462,3342,1847",A37JC45Y9GLSA7,Desktop,18 - 24,WiFi,I mainly decided on the fact if it was relevant or not some of the clips didn't really have anything important that was need to be watch ,
"5,5,5,5,5,5","1,2,3,4,5,6","84011,24552,25757,88538,38034,19833","23815,7914,8355,7109,6036,6616",ATWH33XQ93WMF,Laptop,25 - 31,WiFi,None,
"5,2,4,5,4,4","1,2,3,4,5,6","23371,9479,7448,6834,7415,7504","9299,8627,6383,6373,2396,2672",A3D2GO0IFRFN6R,Desktop,32 - 38,Cable network,Prior to a person making a dunk and the ball going to the other team are what I would consider important.,
