"5,5,0,5,-1,0",n,"4010,4010,4010,4010,20020,4010"
"5,3,3,3,3,3","1,2,3,4,5,6","29873,10209,10514,8332,7840,8008","11828,10556,4468,2605,3361,3080",A3FMBSTZ3ZGSV1,Laptop,32 - 38,WiFi,None
"5,1,1,4,3,4","1,2,3,4,5,6","78531,21805,28056,39086,13746,11586","38520,14429,20493,26123,6859,12836",AZ4HOU8N4FZ53,Laptop,25 - 31,WiFi,iT'S FUN
"5,1,2,4,2,2","1,2,3,4,5,6","31995,12111,12925,13002,13118,12175","8406,7384,8445,6787,6619,5900",A322PKD0V62M27,Smart phone,25 - 31,Cellular network,person hanging on the basket ball net.
"5,4,5,5,5,5","1,2,3,4,5,6","31661,16473,11672,7871,10479,7902","3479,4259,2775,2932,2763,2831",A3K6LZAQZOAPB2,Laptop,25 - 31,Cable network,none
"5,3,3,4,4,4","1,2,3,4,5,6","19223,27836,16340,15054,19989,15794","5304,4036,3861,4327,3410,3419",A37O5SYY9VWSPY,Desktop,25 - 31,WiFi,i ntoticed important events in that video and rated according to that.
"5,5,5,5,5,5","1,2,3,4,5,6","24549,17180,17675,21696,34273,13985","3125,3218,2995,3180,4736,3422",A3NNWJI1G86RJ2,Laptop,25 - 31,Cable network,none
"5,2,4,5,3,3","1,2,3,4,5,6","25961,8837,8306,7788,7700,6456","14611,9029,2281,2335,2220,2253",A1PTH9KTRO06EG,Smart phone,25 - 31,WiFi,Whether you got the main idea of the video from the clip for the most part.
"4,3,4,5,3,3","1,2,3,4,5,6","25508,7566,9319,8841,9605,8662","3235,3416,2556,4765,5509,3524",AKPLFCDUFZXBG,Laptop,18 - 24,WiFi,If anything happens it shouldn't be as important as the main action.
"5,2,2,2,2,2","1,2,3,4,5,6","42244,36319,75325,29741,12274,13456","62042,23891,21692,20660,64047,5297",A1E1ELZBYM0JZA,Laptop,25 - 31,WiFi,good task
"5,4,4,4,4,3","1,2,3,4,5,6","55904,45984,73932,45559,77038,41811","23933,6395,4071,4241,21202,5848",ATBBPV37O4K6N,Desktop,32 - 38,Cable network,none
